MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LATITUDE,LONGITUDE
10063,"Ni, Cu",Ni,OCCURRENCE,Not worked,Locally Significant,PXNT,128.9458688,-26.1793622
58,Ni,Ni,OCCURRENCE,Not worked,Low Significance,NORT,132.6277374,-26.1800382
9779,"QZ, CYP",QZ,OCCURRENCE,Abandoned,Low Significance,REGO,129.1877568,-26.1843972
10523,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.20196979999997,-26.1854612
57,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MAGR,132.5498074,-26.185500199999996
5220,Ni,Ni,OCCURRENCE,Not worked,Low Significance,LATR,129.2610478,-26.1886082
62,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.7981614,-26.1917732
11297,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,130.33683670000002,-26.1919122
9836,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.3521098,-26.1923962
40,CYP,CYP,OCCURRENCE,Not worked,Low Significance,LATR,132.6082534,-26.98062920000001
5222,CYP,CYP,OCCURRENCE,Not worked,Low Significance,VEIN,129.2573238,-26.1993432
5218,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2555438,-26.199823199999997
71,"CYP, Cr",CYP,OCCURRENCE,Not worked,Low Significance,CHAL,129.2518508,-26.200725199999997
59,Ni,Ni,OCCURRENCE,Not worked,Low Significance,NORT,132.75064640000002,-26.2124282
66,Cu,Cu,OCCURRENCE,Not worked,Low Significance,NORT,131.9688105,-26.2243002
61,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.89245640000001,-26.227574199999996
9914,"Ni, Cu, PTM",Ni,OCCURRENCE,Not worked,Low Significance,GBRO,129.9000447,-26.2295582
11646,Ag,Ag,OCCURRENCE,Not worked,Low Significance,MTHH,133.8155293,-26.2559353
8875,PTM,PTM,OCCURRENCE,Not worked,Low Significance,GBNR,130.1191987,-26.2585352
8821,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PXNT,129.02554579999997,-26.2597342
9172,"Ni, Co",Ni,OCCURRENCE,Not worked,Low Significance,UINT,129.2037578,-26.004503200000002
75,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.1847778,-26.008141199999997
6789,"Ni, Co, Fe, OCR",Ni,DEPOSIT,Not worked,Locally Significant,IRSU,129.1756098,-26.0109782
11164,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.1903183,-26.015656200000002
34,"REE, HMIN",REE,OCCURRENCE,Not worked,Low Significance,SAND,133.00877340000002,-26.0195522
10060,"Ni, CYP, Co, FEORE, Fe, REE",Ni,DEPOSIT,Not worked,Significant to Australia,IRSU,128.9380348,-26.0423782
3291,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,REGO,135.20383909999998,-26.0515493
53,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8161854,-26.056482199999998
11122,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.39703559999998,-26.0767014
11318,REE,REE,OCCURRENCE,Not worked,Low Significance,FPEG,132.4646084,-26.0792862
11311,Ni,Ni,OCCURRENCE,Not worked,Low Significance,LATR,129.0100088,-26.0850372
5219,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.20054879999998,-26.1063352
52,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.77535840000002,-26.1071242
8314,Fe,Fe,OCCURRENCE,Not worked,Low Significance,MGTU,129.10173079999998,-26.1167612
69,"V, ILM",V,OCCURRENCE,Not worked,Low Significance,MGTU,129.1160418,-26.1245162
65,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.77051540000002,-26.1252812
7367,ALN,ALN,OCCURRENCE,Not worked,Low Significance,PEGM,131.18426259999998,-26.1253852
7366,ALN,ALN,OCCURRENCE,Not worked,Low Significance,PEGM,131.1262676,-26.1288992
8866,"Cu, Fe, V",Cu,OCCURRENCE,Not worked,Low Significance,WEHR,129.1066488,-26.1359002
76,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.1783648,-26.1380122
64,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.76494540000002,-26.1447802
56,"Cu, CYP",Cu,OCCURRENCE,Not worked,Low Significance,MSED,132.78157140000002,-26.151144199999997
77,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,CHAL,129.1712958,-26.151279199999998
78,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,IRSU,129.1675948,-26.1521862
5221,CYP,CYP,OCCURRENCE,Not worked,Low Significance,VEIN,129.2097088,-26.1588522
54,"Cu, CYP",Cu,OCCURRENCE,Not worked,Low Significance,PAGN,132.8166764,-26.1592022
10524,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.3430128,-26.1617172
10522,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2183518,-26.162535199999997
63,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.7588624,-26.1700472
72,CYP,CYP,OCCURRENCE,Not worked,Low Significance,LATR,129.2424998,-26.1706932
74,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.2445418,-26.1741992
73,"CYP, AGA, Ni",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.2344798,-26.177376199999998
11310,CALI,CALI,DEPOSIT,Active Mine,Low Significance,CALC,129.1189098,-26.177475199999996
3490,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,133.3144083,-26.980648300000002
9170,Cr,Cr,OCCURRENCE,Not worked,Low Significance,IMAF,132.5374584,-26.9847332
41,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.5672964,-26.9883202
11160,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.3564476,-26.9904364
181,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3743953,-26.9918243
183,OPAL,OPAL,OCCURRENCE,Seasonal,Locally Significant,OPAL,134.0976052,-26.9927153
201,"QTZE, SDST",QTZE,PROSPECT,Abandoned,Locally Significant,QTZT,133.4023473,-26.996025300000003
11123,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.85460769999997,-27.0907564
184,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.8654962,-27.1054163
11648,Pb,Pb,OCCURRENCE,Not worked,Low Significance,REGO,133.6794793,-27.1137923
39,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4782423,-27.1141223
11124,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.8210517,-27.1147234
11296,"REE, MIC",REE,OCCURRENCE,Not worked,Low Significance,PEGM,129.87809170000003,-26.300611199999995
8919,"V, Fe, Ti",V,OCCURRENCE,Not worked,Low Significance,MGTU,130.1095627,-26.3023082
60,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MAGR,132.73106040000002,-26.3089602
9171,Cr,Cr,OCCURRENCE,Not worked,Low Significance,PICR,130.7575216,-26.316910200000002
49,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8605494,-26.3194352
3292,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,REGO,134.9359831,-26.320851300000005
11306,U,U,OCCURRENCE,Not worked,Low Significance,SAND,134.0730492,-26.332432300000004
9913,"Ni, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,129.11224380000002,-26.3368942
11284,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IBRC,129.97206770000003,-26.341017200000003
11295,Cu,Cu,OCCURRENCE,Not worked,Low Significance,SULU,130.67695859999998,-26.342474199999998
51,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8482424,-26.378368199999997
48,"Ni, COR",Ni,OCCURRENCE,Not worked,Low Significance,LATR,132.5465574,-26.3875922
9935,DOLR,DOLR,OCCURRENCE,Not worked,Low Significance,DOLR,133.1875683,-26.390019300000002
11647,Ag,Ag,OCCURRENCE,Not worked,Low Significance,MTHH,133.7156263,-26.4125243
68,"Cu, Ni",Cu,OCCURRENCE,Not worked,Low Significance,ANRT,130.73430459999997,-26.4257412
11165,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.2496453,-26.441743300000002
11163,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.5426146,-26.4513275
47,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7120664,-26.464881199999997
8829,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.0720082,-26.562986300000002
3488,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IRSU,133.2525933,-26.5640503
202,DOLR,DOLR,DEPOSIT,Not worked,Locally Significant,DOLR,133.4178273,-26.567913300000004
11162,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.6283396,-26.677866499999997
37,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.09031729999998,-26.767218300000003
38,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.4991603,-26.9292993
3487,MIC,MIC,OCCURRENCE,Not worked,Low Significance,VEIN,133.4971023,-26.9326173
3489,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.3938253,-26.9361723
35,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.2297223,-26.9393543
180,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.53458030000002,-26.9462623
177,MHEM,MHEM,OCCURRENCE,Not worked,Low Significance,TCTO,133.6549053,-26.9497183
11168,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,SILC,133.3637963,-26.9520413
178,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.50658729999998,-26.9541563
3293,MHEM,MHEM,PROSPECT,Care/ Maintenance,Low Significance,MTHH,133.6981773,-26.971988300000003
176,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QHMM,133.7000223,-26.97796330000001
94,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,135.96361399999998,-27.4985213
8472,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PEGM,133.2049523,-26.7733213
42,"Ni, Co, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,132.7613144,-26.7784662
36,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,133.1352933,-26.7900223
3290,U,U,OCCURRENCE,Not worked,Low Significance,SAND,133.5992643,-26.798712300000002
11166,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,133.3351283,-26.838986300000002
11161,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,139.5826676,-26.8515465
45,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9391643,-26.8577462
44,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9841283,-26.869992200000002
8952,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4382373,-26.8733943
43,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.0141593,-26.8734413
9169,Cr,Cr,OCCURRENCE,Not worked,Low Significance,SERP,133.4012833,-26.8750573
46,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9556933,-26.878699199999996
11649,"Zn, GRPH",Zn,OCCURRENCE,Not worked,Low Significance,SHLE,134.1912412,-26.8808113
9036,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,132.93743229999998,-26.8866462
10011,COR,COR,OCCURRENCE,Not worked,Low Significance,MINL,133.1751663,-26.887571299999998
10012,"CYP, COR",CYP,OCCURRENCE,Not worked,Low Significance,MINL,133.19942029999999,-26.8878833
8415,GBRO,GBRO,OCCURRENCE,Seasonal,Low Significance,GBRO,133.4030733,-26.8944843
8469,"Ni, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GBRO,129.7149507,-26.8949322
11167,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.3745423,-26.898102299999998
11282,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.89518940000002,-26.901312199999996
11298,CALI,CALI,OCCURRENCE,Abandoned,Low Significance,CALC,132.89518940000002,-26.901312199999996
11319,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.4434083,-26.9158863
186,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9503262,-27.1816363
185,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.6782413,-27.19321930000001
11126,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.75695269999997,-27.255740399999997
188,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1998342,-27.2847543
10433,DOL,DOL,OCCURRENCE,Seasonal,Low Significance,SILC,133.5896683,-27.2857093
